#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:true" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:true" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:true" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:true" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:true">
#                    <taxonset id="TaxonSet.true" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:true" jeffreys="true" parameter="@bPopSizes.t:true" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="RateACPrior.s:true" name="distribution">
#            <parameter id="rateAC.s:true" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:true" name="distribution">
#            <parameter id="rateAG.s:true" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:true" name="distribution">
#            <parameter id="rateAT.s:true" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:true" name="distribution">
#            <parameter id="rateCG.s:true" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:true" name="distribution">
#            <parameter id="rateGT.s:true" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.4" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true" id="treeLikelihood.true" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true">
#            <siteModel id="SiteModel.s:true" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:true" rateAC="@rateAC.s:true" rateAG="@rateAG.s:true" rateAT="@rateAT.s:true" rateCG="@rateCG.s:true" rateGT="@rateGT.s:true" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:true" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:true" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:true" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-8319.017875684405	-8405.720097490246	-8319.017875684405	-86.70222180584186	-8319.017875684405	1267.9522044679402	0.764911670960837	0.5356371891100187	0.24443729727004482	2.9717827881160668	0.9096567054258385	0.2502888206765971	0.24901312579884402	0.25473376597051867	0.24596428755404026	-36.30278795379458	238.4375533299697	265.91829555788263	553.8859433428393	1261.194199946517	260.8368923490025	-4	6	3	1	-1
1	-8317.945131670356	-8403.141116109053	-8317.945131670356	-85.19598443869609	-8317.945131670356	210.3122709176417	0.71632612128796	0.4760134092140084	0.24443729727004482	6.479349299669215	0.7650875984778752	0.2461094771123657	0.24700313352596162	0.25891310953475005	0.24797427982692266	-33.60280310846618	680.147382642312	667.8960483182909	332.5375527411132	326.2485505901845	825.3144264414726	1	-8	21	-12	3
2	-8315.477297905685	-8401.980675863722	-8315.477297905685	-86.50337795803708	-8315.477297905685	531.5273523270637	0.4737896670523156	0.6336275154055765	0.29749489982648497	3.1682514018524777	0.1566517920926885	0.24439427883187562	0.2395361365395842	0.26216796816117144	0.2539016164673688	-36.19682835646423	92.8563766887574	362.51632099372483	824.408300261392	1468.649452675964	659.9403945740223	-3	-7	33	-8	-10
3	-8315.225740916523	-8406.919611732355	-8315.225740916523	-91.69387081583227	-8315.225740916523	1395.053767320975	0.5206597757681114	0.513029604250585	0.5336640549264333	3.5544650045797	0.0899927905634087	0.24404157496914763	0.22672573448577138	0.26017874529133145	0.26905394525374965	-38.8914119286063	148.5156857985551	317.43805780014685	1342.283931698826	2992.120351058232	667.7650449787776	0	-23	32	-11	7
4	-8315.223009926656	-8396.150973860233	-8315.223009926656	-80.92796393357678	-8315.223009926656	288.6657492989857	0.5882903224426634	0.3053393285500463	0.5647775469737483	5.482262908420294	0.047275568838424806	0.24691422683263065	0.22553320547939257	0.2598423117891271	0.2677102558988498	-32.01391323882762	245.7411227196311	390.00467842056446	1452.487638377024	366.5164259856793	186.50852721593597	2	-35	28	-14	24
5	-8314.788312737806	-8399.00829493653	-8314.788312737806	-84.21998219872394	-8314.788312737806	248.62922719780812	0.9887184796220204	0.24212378156854208	1.8385825191115357	14.108341625371343	0.03188014840534636	0.24390042223346034	0.22588049333668975	0.24177851846461612	0.2884405659652338	-31.287972307661086	1313.3375299434401	1508.9550005913331	1338.476506571018	222.79341819297863	182.545881177096	11	-55	33	2	14
6	-8312.070593912746	-8397.199101909413	-8312.070593912746	-85.12850799666818	-8312.070593912746	575.5201554782957	0.7613944714317988	0.39376970932269595	2.0290304372472003	14.108341625371343	0.053052327696363484	0.24390042223346034	0.2391867441193014	0.23369074548499816	0.2832220881622401	-33.94964258380053	149.7538170072688	407.8979954186059	821.5064654400386	315.66388270271943	359.80715948806215	17	-64	23	13	16
7	-8310.160111554042	-8401.302651015047	-8310.160111554042	-91.14253946100436	-8310.160111554042	1231.874300261921	0.8109931092612628	0.19637331332314859	1.4333744557083865	9.047662602271044	0.039074294210400366	0.23356529057885822	0.22677094426984507	0.25827003253796454	0.28139373261333217	-39.130468339608974	655.8093551081005	699.7531495067951	734.5494105553128	445.8796192234103	1275.242681777224	12	-62	33	0	22
8	-8308.2556189773	-8402.134928055408	-8308.2556189773	-93.87930907810647	-8308.2556189773	2272.617959233919	0.6920705268864803	0.21672723654355655	0.7371426881020718	2.657521242657199	0.04432751967640559	0.24099655394949493	0.22105531310616136	0.25655440033101157	0.28139373261333217	-41.859895355638805	344.9831353393143	1105.5000304610928	463.00315904255115	1449.213487822417	2028.5112461210922	12	-46	33	-25	31
9	-8308.080104029716	-8379.884138117439	-8308.080104029716	-71.80403408772393	-8308.080104029716	346.81902269527757	0.9987515520045145	0.17650121830400817	0.7371426881020718	3.5993334576224836	0.019917830164440535	0.24324099552052983	0.21881087153512646	0.25655440033101157	0.28139373261333217	-29.560891228114812	212.47304988730482	168.8703084101835	209.88253394994172	328.3336804146843	31.844409597259087	27	-28	37	-48	17
10	-8307.966730350174	-8358.328939954543	-8307.966730350174	-50.3622096043685	-8307.966730350174	14.80718600263095	0.9573575358663982	0.21622345321021386	0.6390792427234708	1.9190231538147273	0.008560143591536402	0.2354851326698877	0.21881087153512646	0.2657126042222641	0.27999139157272174	-16.238743963223577	15.159320003268876	25.837798625538266	74.57419326039107	103.02770191380294	53.82943551186122	32	-28	43	-52	10
11	-8303.990556898972	-8352.536299831827	-8303.990556898972	-48.5457429328537	-8303.990556898972	25.199045359316983	1.7445301154273198	0.2681656371636737	1.9571886887625696	2.5672074599915757	0.007244513940674922	0.2382111963012993	0.2243377230077519	0.2568759594187779	0.2805751212721709	-17.07549084686618	13.632636795894326	20.826894949412203	30.492939321609345	32.54504291529416	0.7582897792691117	30	-31	27	-41	20
12	-8302.956161849166	-8350.07756778931	-8302.956161849166	-47.121405940144676	-8302.956161849166	20.83753378097225	1.6876228378448261	0.3694247587990867	2.978281858986974	2.814894723306633	0.004679082626533109	0.24005334647105417	0.22261845922830875	0.2564653989788614	0.28086279532177566	-18.834646173591143	19.90970781474695	17.92997482189275	1.79180050803994	5.380097972178489	2.434125897716392	25	-8	-7	-7	2
13	-8300.067653133296	-8342.43716388539	-8300.067653133296	-42.36951075209458	-8300.067653133296	4.235079462898817	2.1106289124496764	0.5749792749851426	2.757291296800677	4.984166192569591	0.0011708672943786355	0.24311255452029262	0.20931762508226617	0.2577786306476484	0.2897911897497928	-10.919159375098815	10.897793174838869	17.176579979419063	8.147847552642878	2.158204694560498	12.771441825422633	19	-5	-13	8	-4
14	-8298.15763300912	-8335.280238521873	-8298.15763300912	-37.12260551275325	-8298.15763300912	5.2202491079270565	1.5073549884462465	0.5564104204645598	1.4775285879556044	4.493882918699729	6.612294585332606E-4	0.24006438462141508	0.21908788225786666	0.2608268005465259	0.2800209325741923	-12.396892474286554	29.902002722661845	4.634721604867521	5.818282785877818	3.3683894845140503	1.7687059920275139	13	0	-12	16	-12
15	-8271.88248009111	-8313.0899188683	-8271.88248009111	-41.207438777190625	-8271.88248009111	2.55530916832898	0.7514732912235452	0.41162322494454845	0.5461229946900956	3.2901504030431274	3.505011766513589E-4	0.2475435802303322	0.21195634138357755	0.2608268005465259	0.27967327783956425	-15.69726558893052	20.42418908098757	22.721960116360005	15.273904773844198	14.975246999123259	5.060507095379231	22	-1	-19	9	-6
16	-8269.73405915338	-8307.591448200856	-8269.73405915338	-37.857389047476445	-8269.73405915338	3.203665023446681	0.69428902505892	0.2586225770926478	0.5189180650711649	3.720788565325559	2.304680438255487E-4	0.2475435802303322	0.21441936665849495	0.25836377527160853	0.27967327783956425	-14.263504660001932	6.855771363267614	6.07490525438023	17.311073820141374	20.043581517872354	3.981929765597716	14	12	-8	-14	1
17	-8246.34753782128	-8277.739453418628	-8246.34753782128	-31.391915597347307	-8246.34753782128	3.804974254857913	0.69428902505892	0.2646343509614676	0.22421679582467882	5.6738637867063755	1.804946853103492E-4	0.25699751860302844	0.2150996828466826	0.24822952071072468	0.27967327783956425	-10.685231113470511	7.824634087410235	1.521972578762968	2.1399279126616153	5.24152234399471	16.4967165151062	1	26	-8	-5	-9
18	-8239.323774413237	-8270.05324755129	-8239.323774413237	-30.729473138053915	-8239.323774413237	2.859641886486434	0.7589436344181328	0.1745409044933523	0.24135161949164421	5.6738637867063755	6.573700756512168E-5	0.2601050586193773	0.21019724017152439	0.24520555190209334	0.28449214930700495	-7.060826361728329	21.23478224526805	1.190792355841004	6.403434448265044	8.36493015917079	10.884606217155719	1	31	-4	-4	-19
19	-8239.036383018441	-8276.581183574463	-8239.036383018441	-37.54480055602157	-8239.036383018441	3.161866696501704	0.6392013644609233	0.18168273735561705	0.1896001130934955	5.130896572674461	4.7192760516619507E-5	0.2580477702999424	0.21515242324980224	0.2413206430451625	0.28547916340509283	-11.513565912054542	381.3459375474933	2.3328714801373707	5.698432698649524	8.188567234780374	8.540873349527045	1	21	-10	1	-8
20	-8237.083213225018	-8273.420950077802	-8237.083213225018	-36.33773685278387	-8237.083213225018	2.9078558452896943	0.6392013644609233	0.2812691152622142	0.1975698224343815	5.130896572674461	2.5226947550791542E-5	0.2499560218523077	0.22179879866691118	0.24054375547379547	0.28770142400698556	-9.064810754457897	1543.5452628115422	10.12939242447481	4.637770384099572	8.056002746165571	0.49650084960991464	-11	18	-5	-4	7
21	-8229.461920825725	-8259.187511463278	-8229.461920825725	-29.725590637553832	-8229.461920825725	2.95111205754558	0.7826056147059477	0.19448973118604984	0.23024023882778374	5.130896572674461	1.6411053913149707E-5	0.2437493563455731	0.22248219438184133	0.2552423924468319	0.27852605682575365	-3.842731159473142	1137.0581290416203	297.63032406311146	1.7560486000045525	1.4231824443369803	0.19708865449936755	-11	32	-20	-4	8
22	-8228.85565987932	-8275.002613757844	-8228.85565987932	-46.14695387852422	-8228.85565987932	3.5404609645221625	0.8589290926474376	0.197209464518878	0.23024023882778374	5.043591332408967	3.4482078752359824E-5	0.2415720989420386	0.22665077169290576	0.253326620626181	0.2784505087388747	-14.915547726646306	2117.4360624420556	470.46192420480634	4.49961108738522	2.916370642182034	4.47895004815001	3	32	-34	-12	16
23	-8227.488322903973	-8267.707067977424	-8227.488322903973	-40.21874507345164	-8227.488322903973	2.7077892304861177	0.8589290926474376	0.22176429911959697	0.24494160630537518	5.507047730561691	9.01707691457444E-5	0.24096873846963315	0.2232041442046416	0.25737660858685063	0.2784505087388747	-9.88239302718633	4067.9688898245486	185.94515134275883	2.227217236408429	1.58989508038068	0.7398446779985182	14	35	-48	-7	11
24	-8227.04115328505	-8265.256646630283	-8227.04115328505	-38.21549334523282	-8227.04115328505	2.3322672981777504	1.145016681805594	0.2552292162432329	0.19560141050946783	3.666106761254339	9.478427599047614E-5	0.2401407246246411	0.2278934602023243	0.25652172584061544	0.27544408933241926	-7.334541399949554	2630.5654322892933	107.95064119605814	45.96584205296018	1.0942320766461888	0.39165230006627033	16	32	-47	-6	10
25	-8225.702353949595	-8262.792951356625	-8225.702353949595	-37.090597407031034	-8225.702353949595	2.8651748848722716	0.9864128923943882	0.2482543562320577	0.17487896179713508	3.652371805290479	7.05849690009645E-5	0.24111920889684396	0.24337486164145614	0.25652172584061544	0.2589842036210845	-7.5874876694238775	751.6373651021804	300.9541645639872	76.66383474338365	1.2661074544369197	0.2524531666342164	13	33	-45	-2	6
