"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-8219.32748373329,6.01460764506336,1.36425755604542e-14
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-8216.72626573082,6.20024342520339,1.83903922541436e-13
"3","GTR","relaxed_log_normal","coalescent_constant_population",-8204.15553280194,5.54065142857499,0.0000000529652390850465
"4","GTR","relaxed_log_normal","coalescent_exp_population",-8284.91213622968,4.11624377675407,4.48583909013291e-43
"5","GTR","relaxed_log_normal","yule",-8251.52417625004,5.62395882251191,1.41922244945998e-28
"6","GTR","strict","birth_death",-8244.37637512139,4.85577758565914,1.8042680561958e-25
"7","GTR","strict","coalescent_bayesian_skyline",-8252.74758791694,5.51835763239599,4.17570237185949e-29
"8","GTR","strict","coalescent_constant_population",-8212.86366848457,6.30784876208004,8.75176529837747e-12
"9","GTR","strict","coalescent_exp_population",-8240.0547187439,5.31776094003438,1.35885331316479e-23
"10","GTR","strict","yule",-8237.79863997274,8.78470293587493,1.2971050156528e-22
"11","HKY","relaxed_log_normal","birth_death",-8201.50862454986,5.06684262808303,0.000000747357823227649
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-8197.11397140643,4.73449200507863,0.0000605483336009179
"13","HKY","relaxed_log_normal","coalescent_constant_population",-8212.15099331062,5.88305104517356,1.7848698677597e-11
"14","HKY","relaxed_log_normal","coalescent_exp_population",-8194.36396060323,4.59682185336008,0.000947145525867441
"15","HKY","relaxed_log_normal","yule",-8194.11119439193,3.60086934215029,0.00121952773836136
"16","HKY","strict","birth_death",-8195.96466093633,4.86400041907635,0.000191091509126409
"17","HKY","strict","coalescent_bayesian_skyline",-8192.08293438024,4.00873398061926,0.00926944674778577
"18","HKY","strict","coalescent_constant_population",-8200.8725597364,4.95072421909182,0.00000141178324574704
"19","HKY","strict","coalescent_exp_population",-8192.28553775339,4.29542468750813,0.00756944934183354
"20","HKY","strict","yule",-8197.80763206084,4.54797156903648,0.0000302586257977793
"21","JC69","relaxed_log_normal","birth_death",-8191.58656047258,3.45507766685254,0.0152274177675616
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-8198.34931862157,4.15890982909975,0.0000176034469700301
"23","JC69","relaxed_log_normal","coalescent_constant_population",-8198.03294495682,3.32059002205455,0.0000241544444459305
"24","JC69","relaxed_log_normal","coalescent_exp_population",-8196.12524108054,4.67770416653994,0.000162743000824149
"25","JC69","relaxed_log_normal","yule",-8191.06374212866,3.94542981340798,0.0256852256038578
"26","JC69","strict","birth_death",-8190.47330218386,3.45562726688194,0.046356239137179
"27","JC69","strict","coalescent_bayesian_skyline",-8194.48452888193,4.48112070739044,0.000839565480666212
"28","JC69","strict","coalescent_constant_population",-8192.64866789855,3.46657857777912,0.00526452107470152
"29","JC69","strict","coalescent_exp_population",-8196.02538893674,4.41045968540512,0.000179832240352663
"30","JC69","strict","yule",-8187.52193838158,3.14525368086292,0.88688887662757
"31","TN93","relaxed_log_normal","birth_death",-8204.47723228038,5.11829473919385,0.0000000383953498120553
"32","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-8201.12181086974,4.66751185525349,0.00000110032158301149
"33","TN93","relaxed_log_normal","coalescent_constant_population",-8202.35255550664,4.98092031871787,0.000000321376433904385
"34","TN93","relaxed_log_normal","coalescent_exp_population",-8200.37617134895,4.35323562922122,0.00000231924570594001
"35","TN93","relaxed_log_normal","yule",-8197.12591705931,4.77710709567285,0.0000598293471565091
"36","TN93","strict","birth_death",-8233.49500596362,4.00149231543515,9.59444021373108e-21
"37","TN93","strict","coalescent_bayesian_skyline",-8232.6297868294,4.73185693880802,2.27918478257776e-20
"38","TN93","strict","coalescent_constant_population",-8239.58035429445,4.87185163207558,2.18366714790921e-23
"39","TN93","strict","coalescent_exp_population",-8206.5714873742,4.9752977854509,0.00000000472884629169328
"40","TN93","strict","yule",-8201.85644113721,4.98940508564405,0.000000527805316406934
