Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate	
0	-8212.075838731935	-8207.452867607886	-4.622971124048044	-8207.452867607886	1.1194277924366676	0.0815582002221942	1.0332236037292615	0.006454550240847767	0.0787656534003092	-5.5844789359423235	1.0116101528527468	
1	-8212.075838731935	-8207.452867607886	-4.622971124048044	-8207.452867607886	1.1194277924366676	0.0815582002221942	1.0332236037292615	0.006454550240847767	0.0787656534003092	-5.5844789359423235	1.0116101528527468	
2	-8210.22786860515	-8205.85185800025	-4.376010604902078	-8205.85185800025	0.9717067076485422	0.12086993495602005	1.0085567045539292	0.01297900904961993	0.11304547844798743	-5.053460651504751	1.1169585151418528	
3	-8210.22786860515	-8205.85185800025	-4.376010604902078	-8205.85185800025	0.9717067076485422	0.12086993495602005	1.0085567045539292	0.01297900904961993	0.11304547844798743	-5.053460651504751	1.1169585151418528	
4	-8210.22786860515	-8205.85185800025	-4.376010604902078	-8205.85185800025	0.9717067076485422	0.12086993495602005	1.0085567045539292	0.01297900904961993	0.11304547844798743	-5.053460651504751	1.1169585151418528	
5	-8210.22786860515	-8205.85185800025	-4.376010604902078	-8205.85185800025	0.9717067076485422	0.12086993495602005	1.0085567045539292	0.01297900904961993	0.11304547844798743	-5.053460651504751	1.1169585151418528	
6	-8207.314300140204	-8203.115941279675	-4.198358860529559	-8203.115941279675	1.0515457531151398	0.0364153956130431	1.0065770783308867	0.001068306919524215	0.0327639713889203	-5.649304636611315	0.6880477891354313	
7	-8207.314300140204	-8203.115941279675	-4.198358860529559	-8203.115941279675	1.0515457531151398	0.0364153956130431	1.0065770783308867	0.001068306919524215	0.0327639713889203	-5.649304636611315	0.6880477891354313	
8	-8207.380181657947	-8202.33460671609	-5.045574941858804	-8202.33460671609	1.0460561953151049	0.10448828812073849	1.0164591141333292	0.006427834614289463	0.07962032122730545	-5.832972793420781	0.9821300305910706	
9	-8206.204178735137	-8201.673775937274	-4.530402797864496	-8201.673775937274	1.0740757796649085	0.039994609499206815	0.9998097726346872	0.0010059062937473838	0.03187771981749789	-5.928812550626613	1.2343994698620084	
