#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:true" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:true" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:true">
#                <taxonset id="TaxonSet.true" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:true" name="distribution" x="@birthRate.t:true">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:true" name="distribution">
#            <parameter id="ucldStdev.c:true" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true" id="treeLikelihood.true" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true">
#            <siteModel id="SiteModel.s:true" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:true" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:true">
#                <LogNormal S="@ucldStdev.c:true" id="LogNormalDistributionModel.c:true" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:true" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:true" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-13124.912565668674	-13129.143613691585	-13124.912565668674	-4.231048022911386	-13124.912565668674	0.5674685369025189	0.274352159650939	1.0985915741654064	0.09525038547998259	0.31347283085957994	-4.129218211511741	6.67773118017649
1	-12656.92278793064	-12655.232525196288	-12656.92278793064	1.690262734352187	-12656.92278793064	0.4956560757754798	0.09852467777475654	0.9869687032580741	0.010150314820464496	0.10252352558054612	0.860192491260146	2.83062391341724
2	-8567.122051347902	-8574.908754682921	-8567.122051347902	-7.7867033350188315	-8567.122051347902	1.9213968064375608	0.16081206079091004	1.0216524802014004	0.01081732121644272	0.10488707030467159	-8.228111453035815	0.37915038396094386
3	-8364.091410390436	-8373.49607326214	-8364.091410390436	-9.40466287170461	-8364.091410390436	1.931661990102582	0.7588886435410508	0.582014841011544	0.20957432356300915	0.7270429504564921	-7.565650276682401	0.6832012622871866
4	-8307.563348259955	-8318.872301096551	-8307.563348259955	-11.308952836595545	-8307.563348259955	3.1678009522752464	0.3454819163128218	1.0286318234540113	0.11582648053060535	0.3443127556644048	-10.914735733177471	0.5427502818741018
5	-8307.448992189044	-8322.966336059071	-8307.448992189044	-15.517343870026718	-8307.448992189044	13.090512209021945	0.30022887639929163	0.9178389660562912	0.11910275811753517	0.3505807220639548	-15.306259189659514	0.17031305872862038
6	-8294.853912203644	-8304.409563765212	-8294.853912203644	-9.555651561568258	-8294.853912203644	3.353209674695075	0.10249322665631588	0.9956131491175317	0.014206683529678845	0.11913803411861938	-10.357149172357222	0.5182075612663384
7	-8292.593537006696	-8299.69548441088	-8292.593537006696	-7.101947404183198	-8292.593537006696	2.6813078311804963	0.025587469470510344	1.0042466664234393	4.847606367317303E-4	0.021939272289190737	-8.743716000943856	0.41830456214591827
8	-8283.044228666537	-8292.042305150679	-8283.044228666537	-8.99807648414176	-8283.044228666537	1.9948892729574614	0.4266161568352204	1.1216499595667782	0.2234103117689442	0.45569968972868097	-8.294291674575577	0.5849106554726964
9	-8266.074393261395	-8275.137143686965	-8266.074393261395	-9.062750425569478	-8266.074393261395	1.5383551096243042	0.3221553221595279	1.1710876877975966	0.13086150973174346	0.3468426585299761	-8.761798649285133	1.3764915704916214
10	-8241.805109090263	-8247.867448717041	-8241.805109090263	-6.062339626777821	-8241.805109090263	1.4185175380099648	0.17778792669371854	0.9832055222663378	0.020147191270914605	0.1441845448566603	-6.413093200118838	0.7271001647127241
